text,star
영화관에서 봤으면 큰일날뻔 했네... ,1
난 그럼에도 불구하고 다시 만나지 못할것같다. 잘지내 진심으로 사랑했다. ,10
,9
모르던 역사를 알게 해주어서 감사합니다. ,9
최고의 명작우리나라의 위대한 세종대왕 임금님과 최고의 발명가 장영실 그들의 참된 충심과 우정이 너무나 아름답고 뜻깊은 업적을 이루어내 눈물이 났어요~ ,10
,10
이렇게 좋은 배우들 데려다가 이게 뭐지ㅡㅜㅠㅡ진짜 ,4
백두산보다 백배는 나아 ,7
진정한 상남자 영화. 연걸형님의 멋짐 폭발에. 종려시 리즈시절 미모까지. ,10
석규형과 민식이형은 역시...대왕님 감사합니다 ,9
너무 기대를 많이 한 것도 있고.. 제가 감성이 매말랐나봐요.. 무슨 말을 하고 싶은건지 어디가 포인트인지 저는 잘 모르겠더라구요. 친구는 되게 감동적이었다고 하는데.. 취향이 확 나뉘어지나봐요. ,2
"여성이 육아로 인해 격어나가야 하는 어려움과 경력단절로 인한  노동의  단절, 자아성취의 단절 등등 있으나  사회적으로 이것을 문제화 하려는 시도보다는  개인  혹은 가정  안에서만  해결 하려는 스토리여서  답답증을 느끼기는 마잔가지였음.여성이 한 인간으로 성장하는데 임신과 출산이 고통만 있는  것은 분명히 아니다. 성장과 희열도 있고 그로 인해 우리 사회가 이로민한 단절을 보상해나갈 노동법의 변화가 절실 하다. ",6
"연출, 연기, 스토리 어떤 것도 빠지지않는 영화입니다. 중간중간 유머도 있고 참 재밌게 봤습니다. 두 배우 정말 연기 최고였습니다. ",10
"보고나면 가슴이 너무 뭉클해서 자꾸 보게된다. 보고나면 그게 언제든, 누구든 자신의 삶을 주체적으로 살 수 있다는 용기를 가지게 만드는 영화다. ",10
,10
잠수교 홍수쓰나미 어떻게 살아남음 ,6
"뮤지컬을 안봐서 그런건지 아님 내 개인 취향이 갈등없는 옴니버스 구조를 더 좋아하는 쪽이어서 그런건진 몰라도 전체적으론 괜찮게 봤음.별로였던 점은 첫부분에 cg에 적응하는데 좀 걸렸다는거랑 바퀴벌레가 너무 디테일했다는거, 그리고 '그 콧물'(보면서 여주가 콧물흐른 상대배우 얼굴보면서 애써 감정잡으면서 연기했을 생각하니까 몰입이 좀 안됐던건 덤ㅋㅋㅋ) ",7
왜 아직 148만명밖에 안봤어요ㅠㅠㅠ 왜ㅠㅠㅠ 5000만 봐야하는데ㅠㅠㅠ ,10
연기쩌네요 ㅋㅋ나온 배우들 모두 연기 미친든 다아는내용이지만 연기몰입감으로 감동이네요 ,8
,10
두분의 얼굴만 봐도 눈물이 줄줄 났어요 장영실의 충심과 세종의 장영실을 아끼는 마음.. 최고였습니다 ,10
꽤 잘 만듬~~~^^ 이병헌 연기가 좋고 씨쥐가 생각보다 오짐 ㅎㅎ ,10
실화를 바탕으로한 미드웨이 진수만이후 이들이 지켜야했던곳 미드웨이를 일본군이 침략해온다는 정보를 듣게되면서 이들이 약했지만 최선을 다하고 희생해서 지켜낸다. 전쟁이 넘 리얼해서 가슴아팠다. 절대 일어나서는 안되는 이야기다.  암호에대해 생각해본다. 전쟁신들을 잘 표현했고 대극장에서 보기를 추천한다. ,10
연기력은 뭐 나무랄때 없고....중간중간 너무 루즈해서 잠깐 졸음이 올순있어요 참고 일어나믄 또 볼만한 장면 나오고 또 졸고 .. ,6
내용은 평잼에 부모님이나 데이트용으로 적절한 수준이지만 한석규와 최민식의 연기가 멱살붙잡고 끌고가는 영화입니다 ㅠㅠ 장영실과 세종의 러브 아니 우정 이야기가 너무 절절하고 안타깝네요...ㅜㅜㅜㅜ ,8
"뮤지컬 캣츠에 비해 스토리도 있고 조금 더 자연스러운 전개를 만들기 위해 희생한 부분이 있는 건 어쩔 수 없다고 봄, 하지만 충분히 볼 가치가 있고 옛날 뮤지컬 영화인 사운드 오브 뮤직 같다고 생각하면 될 거라고 봄. 그런 류의 영화를 좋아한다면 보면서 감동 포인트도 있을 것이고, 그런 류의 영화를 좋아하지 않는다면 그저 당신에겐 수면제가 될 것임 ",10
,10
돈과 시간이 아깝습니다. ,1
미드웨이가 훨씬나은듯요  백두산 핵노잼 ,1
미국 파일럿 대단하다~ 너무 재미있게 보았습니다 ,10
,10
한석규...정말 연기력 믿고 빠져들게하는군 ,10
지금까지 본 전투 영화중 제일 재밌었음. 전쟁시 전투라는 게 이런거구나 하고 리얼하게 보여준듯. 벤 애플릭 주연의 영화 진주만보다 더 리얼하고 스케일이 컸다고 느낌. ,10
인간에게 신이 될 것을 요구하는 세상. 그 세상 속에서 살아낸 두 인간. ,8
개연성도 없고.. 스토리 엉망에 의문점 투성이임아니 그렇게 건물이 다 무너지고 했는데 청와대는 왜 겁나 멀쩡하냐?? 그리고 갑자기 버스는 어디서 가져와서 가게에 박은거고 갑자기 또 택시는 어디서 얻어 탄거야 그리고 감동 요소도 적당히 넣어야지 때려 박는다고 그게 감동이냐..?? 진짜 배우가 아깝다 ,1
최고입니다 정말.. 지루하다는 분들 있는데 저는 전혀 지루함 못 느끼고 봤어요. 고민하시는 분들 꼭 영화관 가서 보시길 추천해요 ,10
시간낭비 돈 낭비 저 영화 좋아하는데 생각하면 억울하고 영화라고 다 볼게 아니구나재미없어요 ,1
신분  상승의  가장 쉬운 방법이 결혼? 이 구도를 조금은 깨는  스토리였나 했는데 역시 였음.  여성이어도 지도력을 갖는게  어려운 현실도  잘  보여주고 있어서  성평등한 사회는 여성 스스로의 자각없이  역사를 바꿀수없음도 보여주는 영화 ,8
토하는 연기 너무잘함 내가다울렁거려.. ,10
"ㅠㅠ...ㅜㅜ,,, ",1
마지막에 진짜 슬프네여... ,6
그냥 막 만든 단막극 같네요빨리 만든게 티가 납니다 내용 연출 다 별로임그래픽도 그냥 새로움이 1도 없네요중간에도 갑자기 연결되지도 고등학교 영화 연출 수준이었음덱스터라 기대했는데 실망이 100프로 입니다 ,1
,10
,10
80년대생 꿀빨러들.. ,1
보는동안 여자친구가 자꾸 만져서 너무 재밌게 봤습니다. ,10
엄마랑 같이 보았어요~엄마는 즐겁게 잘 보았다고 만족하셨습니다^^저도 액션류를 좋아하는지라 재미있게 감상하였어요 ,10
,10
"우리가 가야할 길은 명확하다!부국강병, 과학기술의 발전, 언어 등 문화의 융성그리고 중국에 대한 사대주의 철폐이다. 그 과거에도 이런일이 있었다는 것을 생생하게 느낄수 있었고, 지금의 우리 상황이 너무 오버랩되었다. 어찌 수백년전과 하나도 달라진게 없을까?열연을 펼쳐준 배우들의 감정을 직접 느낄수 있었다.꼭 보아야하는 명작이다. ",10
진짜 세상이 미쳐가는거 같다. 나도 조커처럼 미치고 싶을 정도로.. ,10
재개봉이라니..꼭 봐야한다. 분명 감동받아 울테지만 뭔 상관인가. ,10
개인적으로 전쟁영화 별로 안좋아하는데도 정말 재밌고 긴장타면소 봣어요 ㅋㅋ 흥미진진 최고 ,9
진짜 꿀.잼!! 보장! ,10
스토리는 엉망.... 연기력은 최고 ,5
역사의 아픔에 중간에 펑펑 울었네요ㅠㅠ 여러나라 사람들이 봤음 좋겠어요 정말..!언어를 연구하고 모으고 알리는 것만으로도 정말 멋진일이라고 생각합니다.억압된 사회속에서도 민족의 언어를 지키기 위해 멋진일을 해준 분들께 너무 감사합니다. ,10
포카 칠줄 모르는 넘들이 댓글 달았나보네 쓰레기라고 하길래 봤더니 쓰레기라고 하는 놈들이 쓰레기였네 ,10
킬링타임으로 가볍게 괜찮아요 ,8
최고다 .. 진짜 웃기고 감동까지 .. ,10
안나와 엘사의 진정한 사랑이 느껴진다 ,10
개발암. 죽은 자들은 잊어버리고 ㅁㅊ 디즈니식 평화 외치기. ,1
이것저것 다 잡으려다 실패한 진주한 전쟁영화 ,6
"- 눈빛 하나로 모든 대사와 감정표현이 흘러넘치도록 담기는 연기는 처음입니다- 느와르적인 드라마틱한 전개가 아니라, 인간과 인간이 꿈을 공유하고 나누고 서로 보탬이 되어 처절하게 이루어나가는 이야기- 피흘리며 영토확장을 이룬 장군들만이 애국을 한게 아니라, 장영실의 보이지않는 하지만 무엇보다 고귀한 희생이 후세에 안겨준 선물의 무게와 의미를 깨닫게 해줌 ",8
수지는 여전하네 연기 못하는거 ,8
돈 아깝지 않네요. 때려부수는게 전부라는 평가가 있지만 전 그게 좋았습니다. 꼭 극장서 봐야할 영화입니다. 참고로 전 여자. ,10
오로라를 염소로 만들어야 될듯 ㅋㅋ 허접한 스토리 디즈니 영화 맞나 싶네 출연배우 그래픽영상이 너무 아깝다. ,2
어른들의 잘못으로 수많은 아이들이 너무 일찍 현실과 마주하고 어른이 되어야하는 삶이 맘 아프다.. ,10
아직 밝혀지지 않은 진실에 대해 ,8
"박진감 넘치는 영상미에 감동 받고, 실화를 바탕해서 더욱 크게 느껴진 영화. ",10
실화를 바탕으로 한 영화가 보여줄 수 있는 모든것을 보여주는 영화가 아닐까싶다.. ,10
꼭 보셈 대존잼 ,10
이 영화를 보고 암이 생겼습니다 ,1
후기가 별로여서 안 볼 생각이었는데 심심해서 보게 된 영화입니다. 기대를 안하고 봐서 그런지 저는 생각보다 재미있게 잘 봤습니다. CG가 너무 허접할가봐 걱정되었지만 생각과는 달리 퀄리티가 높았던거 같습니다. 이병헌배우의 연기는 역시 장난아니였고 깨알 웃음 포인트가 중간중간 있는데 피식피식 웃게 됩니다. 두시간 지루하지 않게 잘 봤습니다. 하정우의 꼬물이는 그래서 성별이 뭘까요..?? 아직두 모름(나만 모름?) 마지막으로 쁘띠쁘띠! ,8
,10
,8
일본 항모 박살낼때 그 통쾌함이란!!! ,8
"스릴을 즐기기엔 스릴이 부족하고, 스토리는 좀 기분 나쁜, 괜히 거창한 영화였다. ",6
,10
,10
우리나라도 625전쟁 영웅들 영화화했으면 좋겠음전쟁중에 북한군이랑 우정느끼는 OO은거말고 ,9
재미없음. 있는듯 마는듯 하는 결말에다가 어설프게 묻은 페미에다가 영상미 같은 말씀하십니다.. 어설픈 씨지죠. ,4
,10
문재앙과 대깨문들 자위용 영화. 친북친중좌빨들 지들은 태양광으로 해쳐먹고 있지. ,1
죽음 앞에 사람이 얼마나 이기적일 수 있는지 보여주는 영화. 지루한면이 있지만 서서히 긴장감을 높여주는 연출! ,9
"어색하고 뜬금없는 전개와 개그, 억지 감동, 개연성없고 납득되지 않는 캐릭터간의 연결고리, 가장 별로였던건 세종과 장영실 둘 사이의 어이없는 퀴어 코드. 좋은 배우들과 소재를 가지고 이런 작품을 만들 수 밖에 없었을까... ",4
포스터가 잘만들어진 영화..연기가 아까웠음 ,4
전투씬은 최곤데 인물들 캐릭터나 대사가 너무 진부해서 중간중간 하품 나오긴 한다 ,7
액션 좋아하지도 않은데 너무 재미있어요~ 시작부터 흥미진진!!! ,10
힐링하려고 봤다가 기분만 안 좋아진 영화..도대체 두 사람이 왜 사랑하는지 이해 안 되며 남자의 무례함에 매우 불편했던 영화 ,1
개돼지발 백두산 대폭발의 최대 희생자 ,8
아들은 재밌었다지만전 지루했어요노래도 1편이 더 나은듯 합니다 ,6
"노래는 좋았던 것 같다,, ",1
함께상영중인 한국작품들이 창피하다 ,10
,10
"그냥 최곤데, 왜 백두산 봄? 미드웨이가 여자인나도 멋지고 좋았음 ",10
너무 재미없었어요7살아들은 재밌다고 봤지만전 너무 지루해서 눈꺼풀이 무거웠네요 ,2
수동 차 사고싶어졌다.. ,10
갈수록 결말이 너무 오픈되어 긴장감이 다떨어지네요.뻔한 스토리 뻔한 결말...비추입니다. ,4
A Quiet Place ,6
북한은 우리겨레이고 감동깊게 보았습니다... ,8
이병헌의 연기가 가장 큰 비중을 차지하며 극의 전개를 이끌어가고 하정우는 이번 작품에서는 주조연 느낌을 처음 받을 정도로 신기했다. ㅎㅎ 뻔한 결말이 아쉽지만 스케일은 많이 발전한듯. ,6
등장인물이 매우많아서 헤깔리고. 다비슷하게생겨서 구분도안감. 또한 내용도 어려움 이해하기. 그리고 마지막에 등장인물 위인화한건 좀 역겹더라. 완전 미국식 국뽕 위인전 영화. 한국인이 굳이 봐야하는 이유는?? 그리고 내용도 역겨운게 주인공 비행기는 절대 안터짐. 무적임 ,1
아니길 바랬어.. 계속 맞다가 누가 갑자기 나타나서 장구를 칠거라는 예상을 안한건 아니었지만 그러지 않기를 보는 내내 기도하며 봤는데.. ,10
외로웠던 고흐.. 시대를 잘 못 만났던 것 같다그의 작품을 한점이라도 사주었더라면... ,10
?? 댄스파티요 ??오뚝이 준비 ~ 오뚝이 발싸 ~ 던질까 말까 던지까 마까 든질까 마까 든지까 마까던 던 든 든 던져 든져 ~ ,5
재밌고 유쾌했어요최근 어린이영화보다 많이 잤는데이건 재밌게봤어요 ,10
아니... 백두산에서 볼거리 영상미는 OO 좋다 치는데 배수지 대체왜나온거냐 그리고 남편이 적진 즉 북한에 있는대 긴박한 작전알려주는데(이장면은 택시통화장면임) 하정우는 또 아내바꾸라고 하고 OO고구마네 ㅋㅋㅋ 배수지 왜 주연는건지도 이해가 안가고 ,1
솔직히 개 노답영화박정민은 연기도 잘하고 참좋은데 시나리오를 못고르시는건가 ,2
기대 안하고 갔는데 재미있게 봤어요! 사실 추리물 치고 엄청난 대박 반전이 있는 것도 아닌데 뭔가 전개가 새롭고 호흡도 빠르고 캐릭터들이 다 살아있고 연기들도 잘해서 몰입된 것 같아요! 잘 봤습니다! ,10
별하나도 아까운 돈아까운영화내용도 없는ㅡㅡ왜봤을까 ㅡ.ㅡ ,2
