text,star
재미있는 개콘을 보는 느낌 근데 리메이크작이라 흠..,1
평점 잘 안다는데 너무 재미없었다,0
방금 친구들이랑 봤는데 가족끼리 보면 서로 의심할듯 키키 개꿀잼 씹강추함,1
"인랑의 탈을 쓴 사랑, 진정성은 있으나 설득력이 없다.",1
작은 설정이라 생각할 수 있으나영화를 보고나면 정말 잼있구나 할꺼요!,1
너무나 재밌었지만 이해는 되지않는,1
요즘 본 영화중 제일 괜찮았음,1
총질은 잼난다. 다만 내용은 No답이니 총쏘는거 볼사람만 봐라.,0
세상은 모든 걸 알 필요가 없다. 친구끼리 부모자식끼리 오히려 가까운 사이일수록 모든 걸 다 알 필요는 없는 것이다. 타인한테 의존하려는 생각부터 바꿔야하는 시대다. 이젠 개인주의 시대니까.타인에 대한 관심이 큰 건...,1
강추입니다 돈 안아까워요,1
영화는영화로보자 영화에서 현실성 찾는사람들은 뭐하는사람들인가?,1
배우들 케미 재미있어요!!,1
기대하지 않고 볼만한게 없어 뵈게 됐는데 정말 재미있게 잘 봤습니다.'모르면 약이요 알면 병이라''입장을 바꾸면 이해 못할게 없다'이런 교훈도 담겨있는..ㅋㅋ,1
신선한 소재 그런데 매너리즘,1
재미는 정말 있어요! 연인끼리보면불편할듯..,1
"재미 없진 않았지만 엄청난 호평만큼의 기대치는 못 미침. 너무 큰 기대는 하지 말고 가세요. 늘 보던 한국영화, 드라마의 막장 내용, 대화수준, 욕이 난무하고 솔직히 평점이 너무 높음. 킬링 타임.",1
액션 좋아하면 추천합니다.,1
"초반엔 지루하고 비현실적이란 생각이 들어서 재미가 떨어졌는데 게이때부터 웃기시작해서마지막에 상상이였다는걸 알게되고 나니잘만든영화란 생각이 들었습니다.마지막 공적인, 개인적인?,비밀적인 3가지 삶이 와닿네요",1
되게 많은생각을 들게하는 영화인것같아요~어려운것같기도하고 1번은 보면 좋을영화?,1
재밋어용 잘봤습니다 ㅎㅎ,1
good good good,1
큰 기대 안 했는데 꿀잼. 키티는 진짜 대박. ㅋㅋ,1
강동원과 1대1 전투씬 전까지는 전개가 뻔했고  자동차 싸움씬에서 보통인간이였으면 이미 죽었을 거라고 생각해서 현실감이 조금 떨어지긴했지만 전 그래도 괜찮게 봤어요..개인적으로 평점테러 받을 정도는 아니라고 생각해요...,1
간만에 한국영화 너무 재밋게 봄,1
오늘 무대인사에서 배우들이 평점을 봤는지 다들 기가 팍 죽어있는 느낌이 들어서 안타까웠지만 막상 영화를 보니까 감독이 한국에서 익숙하지 않은 장르를 개척하려고 여러 시도를 한게 보였고 특히 배우들 또한 연기력이 좋아...,1
잘봤습니다.. 재미있게 봤어요,1
재밋음 뭔가 다른장르의 영화,1
두번보고 싶은 영화..내 아내의 모든것 이후로 극장에서 빵 터진 영화ㅋ저 예산으로 고퀄을 만들어낸 느낌이랄까.. 추천추천 !,1
가정 파탄 연인파탄 친구절교 게임 어설프게 하지 말아라,0
역대급 영화다 연출 오졌다진심 결말은 아쉽...,1
챔피언을피했는이걸못피했네,0
너무 재미 없다!! 비추!! 코미디라며 웃을 수 있는 부분이 없었다는...,0
"왜 이서진, 김지수의 불륜에대해서는 말이읍지ㅎㅎ",1
서로 아는 만큼만 알고 살자,1
한효주는 예뻤는데 소재도 좋았는데 내용은 허접한 아마추어수준..,0
솔직히 이렇게 욕먹을 영화는 아닌거 같은데ㅠㅠ,1
너무 재밌가 부모님 보여드렸다,1
이영화가 재미있는 영화인가? 나는 정말 재미없었는데 보면서 두번 웃은게 다인거 같았다,0
